episode,status,runtime,reward,collisions_agent,collisions_obs,success
328,Obstacle Collision,594.18,-1.261,0,1,0
329,Success,596.62,-0.072,0,0,1
330,Obstacle Collision,597.56,-0.848,0,1,0
331,Success,599.05,-0.056,0,0,1
332,Obstacle Collision,599.49,-1.261,0,1,0
333,Success,602.13,-1.8,0,0,1
334,Success,605.1,-0.106,0,0,1
335,Success,606.65,-0.061,0,0,1
336,Success,609.2,-0.067,0,0,1
337,Success,610.27,-0.044,0,0,1
338,Obstacle Collision,610.66,-1.261,0,1,0
339,Obstacle Collision,611.57,-1.733,0,1,0
340,Obstacle Collision,612.01,-1.261,0,1,0
341,Success,614.23,-0.083,0,0,1
342,Obstacle Collision,614.83,-1.156,0,1,0
343,Obstacle Collision,618.01,-1.411,0,1,0
344,Success,620.2,-0.089,0,0,1
345,Success,621.84,-0.072,0,0,1
346,Obstacle Collision,622.25,-1.261,0,1,0
347,Success,623.99,-0.072,0,0,1
348,Obstacle Collision,625.31,-1.297,0,1,0
349,Success,627.44,-0.067,0,0,1
350,Obstacle Collision,629.03,-1.289,0,1,0
351,Success,630.55,-0.078,0,0,1
352,Success,632.57,-0.061,0,0,1
353,Success,634.63,-0.072,0,0,1
354,Success,636.82,-0.083,0,0,1
355,Success,638.13,-0.039,0,0,1
356,Success,639.7,-0.056,0,0,1
357,Agent Collision,643.13,-1.833,1,0,0
358,Obstacle Collision,644.42,-1.042,0,1,0
359,Obstacle Collision,645.96,-2.15,0,1,0
360,Obstacle Collision,646.86,-1.272,0,1,0
361,Success,648.93,-0.078,0,0,1
362,Success,651.4,-0.117,0,0,1
363,Success,653.27,-0.056,0,0,1
364,Success,654.34,-0.033,0,0,1
365,Obstacle Collision,654.78,-1.261,0,1,0
366,Success,655.95,-0.044,0,0,1
367,Obstacle Collision,658.48,-1.367,0,1,0
368,Obstacle Collision,658.92,-1.261,0,1,0
369,Success,661.14,-0.078,0,0,1
370,Success,662.47,-0.039,0,0,1
371,Obstacle Collision,663.22,-1.929,0,1,0
372,Success,665.39,-0.067,0,0,1
373,Obstacle Collision,668.25,-1.356,0,1,0
374,Obstacle Collision,668.69,-1.261,0,1,0
375,Success,671.62,-0.111,0,0,1
376,Obstacle Collision,672.29,-1.267,0,1,0
377,Success,674.3,-0.061,0,0,1
378,Obstacle Collision,676.65,-1.322,0,1,0
379,Success,678.83,-0.061,0,0,1
380,Obstacle Collision,679.25,-1.261,0,1,0
381,Obstacle Collision,682.53,-3.637,0,1,0
382,Success,683.72,-0.044,0,0,1
383,Obstacle Collision,684.33,-1.157,0,1,0
384,Success,685.73,-0.044,0,0,1
385,Success,688.25,-0.1,0,0,1
386,Success,689.71,-0.044,0,0,1
387,Success,691.44,-0.067,0,0,1
